"","Player_name","Player_position","Player_age","Transfer_season","Transfer_from_division","Transfer_from_team","Transfer_to_division","Transfer_to_team","Transfer_fee","MV_transfer","First_time_EU","Loan_Transfer","MV_4y_high","Transfer_4y","Transfer_after"
"25","Claiton","Centre-Back",28,"13/14","Serie B","Bari","Serie A","Chievo Verona","100 Th. €",NA,NA,NA,NA,NA,NA
"26","Cristian Chávez","Left Winger",24,"11/12","Torneo Final","San Lorenzo","Serie A","SSC Napoli","1,30 Mill. €",8e+05,"Yes","Yes",NA,"Yes",0
"27","Cristian Cuevas","Left-Back",18,"13/14","Primera División","O'Higgins","Premier League","Chelsea","1,90 Mill. €",75000,"Yes","No",1700000,"No",NA
"28","Cristóbal Jorquera","Attacking Midfield",23,"11/12","Primera División","Colo Colo","Serie A","Genoa","1,73 Mill. €",1400000,"Yes","No",2e+06,"Yes",0
"29","Damián Suárez","Right-Back",23,"11/12","Primera División","Defensor","LaLiga","Sporting Gijón","500 Th. €",450000,"Yes","No",3e+06,"Yes",0
"30","Danilo","Centre-Back",27,"11/12","Brazil","Desp. Brasil","Serie A","Udinese Calcio","2,00 Mill. €",3500000,"Yes","No",7.5e+07,"No",NA
"31","Diego Arismendi","Defensive Midfield",21,"09/10","Primera División","Nacional","Premier League","Stoke City","3,00 Mill. €",3e+05,"Yes","No",2e+06,"Yes",0
"32","Diego Farias","Second Striker",23,"13/14","Serie A","Chievo Verona","Serie A","Sassuolo","Loan fee:550 Th. €",NA,NA,NA,NA,NA,NA
"33","Diego Ifrán","Centre-Forward",23,"10/11","Primera División","Danubio FC","LaLiga","Real Sociedad","1,50 Mill. €",1500000,"Yes","No",2e+06,"Yes",0
"34","Diego Laxalt","Left Midfield",20,"13/14","Primera División","Defensor","Serie A","Inter","2,30 Mill. €",2300000,"Yes","No",8e+06,"Yes",5800000
"35","Diego Rolán","Centre-Forward",19,"12/13","Primera División","Defensor","Ligue 1","G. Bordeaux","2,80 Mill. €",2e+06,"Yes","No",8e+06,"No",NA
"36","Dinei","Centre-Forward",25,"09/10","Série A","Athletico-PR","LaLiga","CD Tenerife","Loan fee:300 Th. €",NA,NA,NA,NA,NA,NA
